Ид сделки;External ID;Синтаксис компании
9128;__export__.crm_lead_BXDeal_9128;__export__.res_partner_BXCompany_
8978;__export__.crm_lead_BXDeal_8978;__export__.res_partner_BXCompany_
8692;__export__.crm_lead_BXDeal_8692;__export__.res_partner_BXCompany_
9232;__export__.crm_lead_BXDeal_9232;__export__.res_partner_BXCompany_
6623;__export__.crm_lead_BXDeal_6623;__export__.res_partner_BXCompany_
9016;__export__.crm_lead_BXDeal_9016;__export__.res_partner_BXCompany_
8826;__export__.crm_lead_BXDeal_8826;__export__.res_partner_BXCompany_
9256;__export__.crm_lead_BXDeal_9256;__export__.res_partner_BXCompany_
8618;__export__.crm_lead_BXDeal_8618;__export__.res_partner_BXCompany_
8752;__export__.crm_lead_BXDeal_8752;__export__.res_partner_BXCompany_
9170;__export__.crm_lead_BXDeal_9170;__export__.res_partner_BXCompany_
8858;__export__.crm_lead_BXDeal_8858;__export__.res_partner_BXCompany_
8822;__export__.crm_lead_BXDeal_8822;__export__.res_partner_BXCompany_
8810;__export__.crm_lead_BXDeal_8810;__export__.res_partner_BXCompany_
8864;__export__.crm_lead_BXDeal_8864;__export__.res_partner_BXCompany_
8868;__export__.crm_lead_BXDeal_8868;__export__.res_partner_BXCompany_
8898;__export__.crm_lead_BXDeal_8898;__export__.res_partner_BXCompany_
8902;__export__.crm_lead_BXDeal_8902;__export__.res_partner_BXCompany_
8906;__export__.crm_lead_BXDeal_8906;__export__.res_partner_BXCompany_
8910;__export__.crm_lead_BXDeal_8910;__export__.res_partner_BXCompany_
8914;__export__.crm_lead_BXDeal_8914;__export__.res_partner_BXCompany_
8924;__export__.crm_lead_BXDeal_8924;__export__.res_partner_BXCompany_
8948;__export__.crm_lead_BXDeal_8948;__export__.res_partner_BXCompany_
8950;__export__.crm_lead_BXDeal_8950;__export__.res_partner_BXCompany_
8952;__export__.crm_lead_BXDeal_8952;__export__.res_partner_BXCompany_
8958;__export__.crm_lead_BXDeal_8958;__export__.res_partner_BXCompany_
8966;__export__.crm_lead_BXDeal_8966;__export__.res_partner_BXCompany_
8968;__export__.crm_lead_BXDeal_8968;__export__.res_partner_BXCompany_
9012;__export__.crm_lead_BXDeal_9012;__export__.res_partner_BXCompany_
9014;__export__.crm_lead_BXDeal_9014;__export__.res_partner_BXCompany_
9002;__export__.crm_lead_BXDeal_9002;__export__.res_partner_BXCompany_
5331;__export__.crm_lead_BXDeal_5331;__export__.res_partner_BXCompany_
8988;__export__.crm_lead_BXDeal_8988;__export__.res_partner_BXCompany_
9018;__export__.crm_lead_BXDeal_9018;__export__.res_partner_BXCompany_
9028;__export__.crm_lead_BXDeal_9028;__export__.res_partner_BXCompany_
9046;__export__.crm_lead_BXDeal_9046;__export__.res_partner_BXCompany_
9180;__export__.crm_lead_BXDeal_9180;__export__.res_partner_BXCompany_
9048;__export__.crm_lead_BXDeal_9048;__export__.res_partner_BXCompany_
8944;__export__.crm_lead_BXDeal_8944;__export__.res_partner_BXCompany_
8646;__export__.crm_lead_BXDeal_8646;__export__.res_partner_BXCompany_
9094;__export__.crm_lead_BXDeal_9094;__export__.res_partner_BXCompany_
9082;__export__.crm_lead_BXDeal_9082;__export__.res_partner_BXCompany_
9194;__export__.crm_lead_BXDeal_9194;__export__.res_partner_BXCompany_
9150;__export__.crm_lead_BXDeal_9150;__export__.res_partner_BXCompany_
7457;__export__.crm_lead_BXDeal_7457;__export__.res_partner_BXCompany_
9062;__export__.crm_lead_BXDeal_9062;__export__.res_partner_BXCompany_
9178;__export__.crm_lead_BXDeal_9178;__export__.res_partner_BXCompany_
9260;__export__.crm_lead_BXDeal_9260;__export__.res_partner_BXCompany_
9146;__export__.crm_lead_BXDeal_9146;__export__.res_partner_BXCompany_
9114;__export__.crm_lead_BXDeal_9114;__export__.res_partner_BXCompany_
9136;__export__.crm_lead_BXDeal_9136;__export__.res_partner_BXCompany_
9076;__export__.crm_lead_BXDeal_9076;__export__.res_partner_BXCompany_
9080;__export__.crm_lead_BXDeal_9080;__export__.res_partner_BXCompany_
9086;__export__.crm_lead_BXDeal_9086;__export__.res_partner_BXCompany_
9090;__export__.crm_lead_BXDeal_9090;__export__.res_partner_BXCompany_
8694;__export__.crm_lead_BXDeal_8694;__export__.res_partner_BXCompany_
8840;__export__.crm_lead_BXDeal_8840;__export__.res_partner_BXCompany_
8842;__export__.crm_lead_BXDeal_8842;__export__.res_partner_BXCompany_
8834;__export__.crm_lead_BXDeal_8834;__export__.res_partner_BXCompany_
8920;__export__.crm_lead_BXDeal_8920;__export__.res_partner_BXCompany_
8704;__export__.crm_lead_BXDeal_8704;__export__.res_partner_BXCompany_
8828;__export__.crm_lead_BXDeal_8828;__export__.res_partner_BXCompany_
5249;__export__.crm_lead_BXDeal_5249;__export__.res_partner_BXCompany_
8548;__export__.crm_lead_BXDeal_8548;__export__.res_partner_BXCompany_
5167;__export__.crm_lead_BXDeal_5167;__export__.res_partner_BXCompany_
9148;__export__.crm_lead_BXDeal_9148;__export__.res_partner_BXCompany_
8638;__export__.crm_lead_BXDeal_8638;__export__.res_partner_BXCompany_
8892;__export__.crm_lead_BXDeal_8892;__export__.res_partner_BXCompany_
8598;__export__.crm_lead_BXDeal_8598;__export__.res_partner_BXCompany_
8732;__export__.crm_lead_BXDeal_8732;__export__.res_partner_BXCompany_
7909;__export__.crm_lead_BXDeal_7909;__export__.res_partner_BXCompany_
8982;__export__.crm_lead_BXDeal_8982;__export__.res_partner_BXCompany_
7415;__export__.crm_lead_BXDeal_7415;__export__.res_partner_BXCompany_
8782;__export__.crm_lead_BXDeal_8782;__export__.res_partner_BXCompany_
9236;__export__.crm_lead_BXDeal_9236;__export__.res_partner_BXCompany_
8860;__export__.crm_lead_BXDeal_8860;__export__.res_partner_BXCompany_
9224;__export__.crm_lead_BXDeal_9224;__export__.res_partner_BXCompany_
9238;__export__.crm_lead_BXDeal_9238;__export__.res_partner_BXCompany_
8866;__export__.crm_lead_BXDeal_8866;__export__.res_partner_BXCompany_
6009;__export__.crm_lead_BXDeal_6009;__export__.res_partner_BXCompany_
6971;__export__.crm_lead_BXDeal_6971;__export__.res_partner_BXCompany_
9234;__export__.crm_lead_BXDeal_9234;__export__.res_partner_BXCompany_
4939;__export__.crm_lead_BXDeal_4939;__export__.res_partner_BXCompany_
4851;__export__.crm_lead_BXDeal_4851;__export__.res_partner_BXCompany_
5563;__export__.crm_lead_BXDeal_5563;__export__.res_partner_BXCompany_
9220;__export__.crm_lead_BXDeal_9220;__export__.res_partner_BXCompany_
8940;__export__.crm_lead_BXDeal_8940;__export__.res_partner_BXCompany_
7579;__export__.crm_lead_BXDeal_7579;__export__.res_partner_BXCompany_
8838;__export__.crm_lead_BXDeal_8838;__export__.res_partner_BXCompany_
8844;__export__.crm_lead_BXDeal_8844;__export__.res_partner_BXCompany_
8768;__export__.crm_lead_BXDeal_8768;__export__.res_partner_BXCompany_
5131;__export__.crm_lead_BXDeal_5131;__export__.res_partner_BXCompany_
8896;__export__.crm_lead_BXDeal_8896;__export__.res_partner_BXCompany_
8820;__export__.crm_lead_BXDeal_8820;__export__.res_partner_BXCompany_
6491;__export__.crm_lead_BXDeal_6491;__export__.res_partner_BXCompany_
9112;__export__.crm_lead_BXDeal_9112;__export__.res_partner_BXCompany_
8846;__export__.crm_lead_BXDeal_8846;__export__.res_partner_BXCompany_
5979;__export__.crm_lead_BXDeal_5979;__export__.res_partner_BXCompany_
9210;__export__.crm_lead_BXDeal_9210;__export__.res_partner_BXCompany_
8170;__export__.crm_lead_BXDeal_8170;__export__.res_partner_BXCompany_
9208;__export__.crm_lead_BXDeal_9208;__export__.res_partner_BXCompany_
8900;__export__.crm_lead_BXDeal_8900;__export__.res_partner_BXCompany_
6693;__export__.crm_lead_BXDeal_6693;__export__.res_partner_BXCompany_
8956;__export__.crm_lead_BXDeal_8956;__export__.res_partner_BXCompany_
9202;__export__.crm_lead_BXDeal_9202;__export__.res_partner_BXCompany_
8880;__export__.crm_lead_BXDeal_8880;__export__.res_partner_BXCompany_
8850;__export__.crm_lead_BXDeal_8850;__export__.res_partner_BXCompany_
8936;__export__.crm_lead_BXDeal_8936;__export__.res_partner_BXCompany_
8814;__export__.crm_lead_BXDeal_8814;__export__.res_partner_BXCompany_
8876;__export__.crm_lead_BXDeal_8876;__export__.res_partner_BXCompany_
8872;__export__.crm_lead_BXDeal_8872;__export__.res_partner_BXCompany_
8874;__export__.crm_lead_BXDeal_8874;__export__.res_partner_BXCompany_
8882;__export__.crm_lead_BXDeal_8882;__export__.res_partner_BXCompany_
8886;__export__.crm_lead_BXDeal_8886;__export__.res_partner_BXCompany_
8888;__export__.crm_lead_BXDeal_8888;__export__.res_partner_BXCompany_
8878;__export__.crm_lead_BXDeal_8878;__export__.res_partner_BXCompany_
8856;__export__.crm_lead_BXDeal_8856;__export__.res_partner_BXCompany_
8870;__export__.crm_lead_BXDeal_8870;__export__.res_partner_BXCompany_
8928;__export__.crm_lead_BXDeal_8928;__export__.res_partner_BXCompany_
8932;__export__.crm_lead_BXDeal_8932;__export__.res_partner_BXCompany_
8912;__export__.crm_lead_BXDeal_8912;__export__.res_partner_BXCompany_
8916;__export__.crm_lead_BXDeal_8916;__export__.res_partner_BXCompany_
8962;__export__.crm_lead_BXDeal_8962;__export__.res_partner_BXCompany_
8970;__export__.crm_lead_BXDeal_8970;__export__.res_partner_BXCompany_
8942;__export__.crm_lead_BXDeal_8942;__export__.res_partner_BXCompany_
8830;__export__.crm_lead_BXDeal_8830;__export__.res_partner_BXCompany_
8946;__export__.crm_lead_BXDeal_8946;__export__.res_partner_BXCompany_
8836;__export__.crm_lead_BXDeal_8836;__export__.res_partner_BXCompany_
8954;__export__.crm_lead_BXDeal_8954;__export__.res_partner_BXCompany_
8972;__export__.crm_lead_BXDeal_8972;__export__.res_partner_BXCompany_
9042;__export__.crm_lead_BXDeal_9042;__export__.res_partner_BXCompany_
8976;__export__.crm_lead_BXDeal_8976;__export__.res_partner_BXCompany_
8720;__export__.crm_lead_BXDeal_8720;__export__.res_partner_BXCompany_
9056;__export__.crm_lead_BXDeal_9056;__export__.res_partner_BXCompany_
9190;__export__.crm_lead_BXDeal_9190;__export__.res_partner_BXCompany_
8984;__export__.crm_lead_BXDeal_8984;__export__.res_partner_BXCompany_
9050;__export__.crm_lead_BXDeal_9050;__export__.res_partner_BXCompany_
9052;__export__.crm_lead_BXDeal_9052;__export__.res_partner_BXCompany_
9004;__export__.crm_lead_BXDeal_9004;__export__.res_partner_BXCompany_
9010;__export__.crm_lead_BXDeal_9010;__export__.res_partner_BXCompany_
9060;__export__.crm_lead_BXDeal_9060;__export__.res_partner_BXCompany_
9064;__export__.crm_lead_BXDeal_9064;__export__.res_partner_BXCompany_
9072;__export__.crm_lead_BXDeal_9072;__export__.res_partner_BXCompany_
9074;__export__.crm_lead_BXDeal_9074;__export__.res_partner_BXCompany_
9186;__export__.crm_lead_BXDeal_9186;__export__.res_partner_BXCompany_
9104;__export__.crm_lead_BXDeal_9104;__export__.res_partner_BXCompany_
9130;__export__.crm_lead_BXDeal_9130;__export__.res_partner_BXCompany_
9132;__export__.crm_lead_BXDeal_9132;__export__.res_partner_BXCompany_
9140;__export__.crm_lead_BXDeal_9140;__export__.res_partner_BXCompany_
9154;__export__.crm_lead_BXDeal_9154;__export__.res_partner_BXCompany_
9156;__export__.crm_lead_BXDeal_9156;__export__.res_partner_BXCompany_
9158;__export__.crm_lead_BXDeal_9158;__export__.res_partner_BXCompany_
9160;__export__.crm_lead_BXDeal_9160;__export__.res_partner_BXCompany_
9144;__export__.crm_lead_BXDeal_9144;__export__.res_partner_BXCompany_
9110;__export__.crm_lead_BXDeal_9110;__export__.res_partner_BXCompany_
8986;__export__.crm_lead_BXDeal_8986;__export__.res_partner_BXCompany_
9164;__export__.crm_lead_BXDeal_9164;__export__.res_partner_BXCompany_
9008;__export__.crm_lead_BXDeal_9008;__export__.res_partner_BXCompany_
9032;__export__.crm_lead_BXDeal_9032;__export__.res_partner_BXCompany_
9034;__export__.crm_lead_BXDeal_9034;__export__.res_partner_BXCompany_
9070;__export__.crm_lead_BXDeal_9070;__export__.res_partner_BXCompany_
9108;__export__.crm_lead_BXDeal_9108;__export__.res_partner_BXCompany_
9166;__export__.crm_lead_BXDeal_9166;__export__.res_partner_BXCompany_
9162;__export__.crm_lead_BXDeal_9162;__export__.res_partner_BXCompany_
9152;__export__.crm_lead_BXDeal_9152;__export__.res_partner_BXCompany_
8980;__export__.crm_lead_BXDeal_8980;__export__.res_partner_BXCompany_
9172;__export__.crm_lead_BXDeal_9172;__export__.res_partner_BXCompany_
8990;__export__.crm_lead_BXDeal_8990;__export__.res_partner_BXCompany_
9142;__export__.crm_lead_BXDeal_9142;__export__.res_partner_BXCompany_
9120;__export__.crm_lead_BXDeal_9120;__export__.res_partner_BXCompany_
8818;__export__.crm_lead_BXDeal_8818;__export__.res_partner_BXCompany_
9100;__export__.crm_lead_BXDeal_9100;__export__.res_partner_BXCompany_
8812;__export__.crm_lead_BXDeal_8812;__export__.res_partner_BXCompany_
8964;__export__.crm_lead_BXDeal_8964;__export__.res_partner_BXCompany_
8824;__export__.crm_lead_BXDeal_8824;__export__.res_partner_BXCompany_
8426;__export__.crm_lead_BXDeal_8426;__export__.res_partner_BXCompany_
9116;__export__.crm_lead_BXDeal_9116;__export__.res_partner_BXCompany_
9124;__export__.crm_lead_BXDeal_9124;__export__.res_partner_BXCompany_
5695;__export__.crm_lead_BXDeal_5695;__export__.res_partner_BXCompany_
8802;__export__.crm_lead_BXDeal_8802;__export__.res_partner_BXCompany_
